Depth_mean,Depth_min,Depth_max,Qf,valid,slope,phasedetect,Lat,Lon,Sog,Cog,Roll,Pitch,Heave,Head
-122.66,-122.03,-124.44,2.920565188527107,100.0,0.24,87.0,46.13243175,-3.2670545,6.1814254913014475,338.48,0.13,-0.27,0.49,337.74
-122.54,-121.79,-124.52,2.9304263126850127,100.0,0.29,87.5,46.1324859,-3.2670901,6.200863936242647,338.35,-0.47,0.41,0.43,337.68
-122.7,-121.99,-124.79,2.9149493449926376,100.0,0.26,87.0,46.13251225,-3.2671093,6.2203023811838465,338.09,-0.54,0.35,0.2,337.76
-122.87,-121.81,-124.46,2.927504105567932,100.0,0.32,88.5,46.13256435,-3.2671459,6.2203023811838465,337.47,-0.07,0.08,0.08,337.8
-123.04,-122.41,-124.56,2.9366525912284853,100.0,0.23,88.5,46.1326441,-3.2671928,6.2203023811838465,337.34,0.82,0.1,-0.19,337.96
-123.2,-122.6,-124.61,2.9163505905866622,100.0,0.24,85.5,46.132671,-3.2672083,6.2203023811838465,337.43,0.59,0.37,-0.35,337.98
-123.56,-122.65,-125.09,2.9077843981981277,100.0,0.31,87.0,46.13272385,-3.2672384,6.2203023811838465,337.51,-0.25,0.22,-0.58,338.1
-123.59,-122.95,-125.11,2.9242402839660646,100.0,0.2,89.0,46.13275,-3.2672525,6.2203023811838465,337.59,-0.44,-0.07,-0.51,338.05
-123.22,-122.19,-125.22,2.914627697467804,100.0,0.2,85.0,46.13280315,-3.267281,6.200863936242647,337.84,-0.55,-0.14,-0.12,338.11
-122.91,-122.29,-124.34,2.931363851428032,100.0,0.24,88.5,46.132857,-3.2673117,6.200863936242647,337.99,-0.58,0.01,0.15,338.22
-123.0,-122.41,-124.39,2.9196198374032973,100.0,0.2,88.0,46.1329107,-3.2673439,6.200863936242647,337.95,-0.52,0.36,-0.07,338.18
-123.23,-122.29,-124.36,2.915972114801407,100.0,0.21,87.5,46.13293755,-3.2673596,6.200863936242647,337.93,-0.42,0.38,-0.17,338.26
-122.71,-122.16,-123.95,2.9198158848285676,100.0,0.26,88.5,46.13299045,-3.2673909,6.200863936242647,337.94,-0.17,-0.35,0.45,338.17
-122.32,-121.66,-123.52,2.92889767408371,100.0,0.22,88.0,46.13304345,-3.2674267,6.200863936242647,337.76,-0.14,0.03,0.49,338.19
-123.17,-122.54,-124.62,2.9185981023311616,100.0,0.24,89.0,46.1330971,-3.2674625,6.2203023811838465,337.3,0.13,0.82,-0.53,338.46
-123.59,-122.68,-125.1,2.9271120834350586,100.0,0.24,88.0,46.1331503,-3.2674919,6.239740826125046,337.34,0.4,0.42,-0.53,338.49
-122.86,-122.37,-124.1,2.9384113478660585,100.0,0.24,90.0,46.13317625,-3.2675068,6.2203023811838465,337.46,0.17,-0.41,0.17,338.46
-122.86,-122.01,-124.11,2.9233767580986023,100.0,0.24,88.0,46.1332288,-3.2675394,6.200863936242647,337.49,-0.51,-0.1,-0.01,338.2
-123.52,-122.95,-124.61,2.9185091531276703,100.0,0.14,87.5,46.1332834,-3.2675713,6.2203023811838465,337.4,-0.19,0.72,-0.71,338.36
-123.84,-123.31,-125.16,2.9332595479488375,100.0,0.22,88.5,46.1333374,-3.2675993,6.2203023811838465,337.63,-0.14,0.64,-0.72,338.59
-122.99,-122.56,-124.1,2.9020636439323426,100.0,0.18,86.5,46.13339005,-3.2676272,6.200863936242647,337.99,-0.12,-0.49,0.17,338.52
-122.58,-121.86,-123.72,2.9187668693065643,100.0,0.19,87.0,46.1334435,-3.2676605,6.200863936242647,338.02,-0.43,-0.14,0.43,338.39
-123.17,-122.46,-124.55,2.9252181923389435,100.0,0.17,87.5,46.1334704,-3.2676779,6.200863936242647,337.87,-0.52,0.51,-0.12,338.45
-123.18,-122.58,-124.44,2.932800750732422,100.0,0.14,88.5,46.1335242,-3.2677107,6.2203023811838465,337.71,-0.33,0.25,-0.07,338.65
-123.1,-122.24,-125.28,2.9149033892154694,100.0,0.38,88.0,46.1335765,-3.2677434,6.2203023811838465,337.58,0.13,-0.25,0.15,338.69
-122.87,-122.31,-124.19,2.9200239038467406,100.0,0.21,87.0,46.1336294,-3.2677753,6.2203023811838465,337.53,0.3,-0.41,0.2,338.57
-123.06,-122.18,-124.61,2.9125787526369096,100.0,0.38,88.5,46.13368385,-3.2678085,6.2203023811838465,337.5,-0.11,0.33,-0.08,338.51
-123.38,-122.34,-124.82,2.926081107854843,100.0,0.31,89.0,46.13371075,-3.2678253,6.239740826125046,337.46,-0.53,0.71,-0.34,338.8
-123.31,-122.65,-124.6,2.9248753106594085,100.0,0.24,87.0,46.1337629,-3.2678577,6.239740826125046,337.36,-0.34,-0.23,0.02,338.92
-123.07,-122.43,-124.35,2.9124901163578034,100.0,0.16,86.0,46.1338141,-3.2678892,6.2203023811838465,337.26,-0.13,-0.51,0.07,339.0
